
Miss counter = 93848384

[162]: tagMask: fffffffe0000 , tag_offset: 17c20000 , ppn: 0 , valid: true , ptIndex: 162 , countAccess: 31738738
[163]: tagMask: ffffffe00000 , tag_offset: 17e00000 , ppn: 0 , valid: true , ptIndex: 163 , countAccess: 0
[164]: tagMask: ffffffffe000 , tag_offset: 18000000 , ppn: 0 , valid: true , ptIndex: 164 , countAccess: 2609065
[165]: tagMask: ffffffff8000 , tag_offset: 18008000 , ppn: 0 , valid: true , ptIndex: 165 , countAccess: 54254
[166]: tagMask: ffffffe00000 , tag_offset: 18200000 , ppn: 0 , valid: true , ptIndex: 166 , countAccess: 0
[167]: tagMask: ffffffffe000 , tag_offset: 18400000 , ppn: 0 , valid: true , ptIndex: 167 , countAccess: 32689
[168]: tagMask: fffffffc0000 , tag_offset: 18440000 , ppn: 0 , valid: true , ptIndex: 168 , countAccess: 61414
[169]: tagMask: ffffffe00000 , tag_offset: 18600000 , ppn: 0 , valid: true , ptIndex: 169 , countAccess: 0
[170]: tagMask: ffffffffe000 , tag_offset: 18800000 , ppn: 0 , valid: true , ptIndex: 170 , countAccess: 33007
[171]: tagMask: ffffffff8000 , tag_offset: 18808000 , ppn: 0 , valid: true , ptIndex: 171 , countAccess: 218280
[172]: tagMask: ffffffe00000 , tag_offset: 18a00000 , ppn: 0 , valid: true , ptIndex: 172 , countAccess: 0
[173]: tagMask: ffffffffe000 , tag_offset: 18c00000 , ppn: 0 , valid: true , ptIndex: 173 , countAccess: 114531
[174]: tagMask: fffffff00000 , tag_offset: 18d00000 , ppn: 0 , valid: true , ptIndex: 174 , countAccess: 522395
[175]: tagMask: ffffffe00000 , tag_offset: 18e00000 , ppn: 0 , valid: true , ptIndex: 175 , countAccess: 0
[176]: tagMask: ffffffff8000 , tag_offset: 19000000 , ppn: 0 , valid: true , ptIndex: 176 , countAccess: 63249
[177]: tagMask: ffffffff0000 , tag_offset: 19010000 , ppn: 0 , valid: true , ptIndex: 177 , countAccess: 93364315
[178]: tagMask: ffffffe00000 , tag_offset: 19200000 , ppn: 0 , valid: true , ptIndex: 178 , countAccess: 0
[179]: tagMask: ffffffffe000 , tag_offset: 19400000 , ppn: 0 , valid: true , ptIndex: 179 , countAccess: 584757
[180]: tagMask: ffffffe00000 , tag_offset: 19600000 , ppn: 0 , valid: true , ptIndex: 180 , countAccess: 52331715
[181]: tagMask: ffffffe00000 , tag_offset: 19800000 , ppn: 0 , valid: true , ptIndex: 181 , countAccess: 0
[182]: tagMask: ffffffff0000 , tag_offset: 19a00000 , ppn: 0 , valid: true , ptIndex: 182 , countAccess: 3544416
[183]: tagMask: ffffffffc000 , tag_offset: 19a10000 , ppn: 0 , valid: true , ptIndex: 183 , countAccess: 11579
[184]: tagMask: fffffffe0000 , tag_offset: 19a20000 , ppn: 0 , valid: true , ptIndex: 184 , countAccess: 11232483
[185]: tagMask: ffffffe00000 , tag_offset: 19c00000 , ppn: 0 , valid: true , ptIndex: 185 , countAccess: 0
[186]: tagMask: fffffffff000 , tag_offset: 19e00000 , ppn: 0 , valid: true , ptIndex: 186 , countAccess: 261015
[187]: tagMask: ffffffffe000 , tag_offset: 19e02000 , ppn: 0 , valid: true , ptIndex: 187 , countAccess: 30218
[188]: tagMask: ffffffe00000 , tag_offset: 1a000000 , ppn: 0 , valid: true , ptIndex: 188 , countAccess: 0
[189]: tagMask: ffffffffe000 , tag_offset: 1a200000 , ppn: 0 , valid: true , ptIndex: 189 , countAccess: 31196
[190]: tagMask: ffffffffe000 , tag_offset: 1a202000 , ppn: 0 , valid: true , ptIndex: 190 , countAccess: 29428
[191]: tagMask: ffffffe00000 , tag_offset: 1a400000 , ppn: 0 , valid: true , ptIndex: 191 , countAccess: 0
[192]: tagMask: ffffffffe000 , tag_offset: 1a600000 , ppn: 0 , valid: true , ptIndex: 192 , countAccess: 31150
[193]: tagMask: ffffffff8000 , tag_offset: 1a608000 , ppn: 0 , valid: true , ptIndex: 193 , countAccess: 34167
[194]: tagMask: ffffffe00000 , tag_offset: 1a800000 , ppn: 0 , valid: true , ptIndex: 194 , countAccess: 0
[195]: tagMask: ffffffffe000 , tag_offset: 1aa00000 , ppn: 0 , valid: true , ptIndex: 195 , countAccess: 31143
[196]: tagMask: fffffffff000 , tag_offset: 1aa02000 , ppn: 0 , valid: true , ptIndex: 196 , countAccess: 22585
[197]: tagMask: ffffffe00000 , tag_offset: 1ac00000 , ppn: 0 , valid: true , ptIndex: 197 , countAccess: 0
[198]: tagMask: ffffffffe000 , tag_offset: 1ae00000 , ppn: 0 , valid: true , ptIndex: 198 , countAccess: 31028
[199]: tagMask: fffffffc0000 , tag_offset: 1ae40000 , ppn: 0 , valid: true , ptIndex: 199 , countAccess: 463081
[200]: tagMask: ffffffe00000 , tag_offset: 1b000000 , ppn: 0 , valid: true , ptIndex: 200 , countAccess: 0
[201]: tagMask: ffffffff8000 , tag_offset: 1b200000 , ppn: 0 , valid: true , ptIndex: 201 , countAccess: 61854
[202]: tagMask: fffffffff000 , tag_offset: 1b208000 , ppn: 0 , valid: true , ptIndex: 202 , countAccess: 0
[203]: tagMask: ffffffffe000 , tag_offset: 1b20a000 , ppn: 0 , valid: true , ptIndex: 203 , countAccess: 27440
[204]: tagMask: ffffffe00000 , tag_offset: 1b400000 , ppn: 0 , valid: true , ptIndex: 204 , countAccess: 0
[205]: tagMask: ffffffffe000 , tag_offset: 1b600000 , ppn: 0 , valid: true , ptIndex: 205 , countAccess: 31301
[206]: tagMask: ffffffff8000 , tag_offset: 1b608000 , ppn: 0 , valid: true , ptIndex: 206 , countAccess: 26822
[207]: tagMask: ffffffe00000 , tag_offset: 1b800000 , ppn: 0 , valid: true , ptIndex: 207 , countAccess: 0
[208]: tagMask: ffffffffe000 , tag_offset: 1ba00000 , ppn: 0 , valid: true , ptIndex: 208 , countAccess: 31295
[209]: tagMask: fffffffff000 , tag_offset: 1ba02000 , ppn: 0 , valid: true , ptIndex: 209 , countAccess: 23012
[210]: tagMask: ffffffe00000 , tag_offset: 1bc00000 , ppn: 0 , valid: true , ptIndex: 210 , countAccess: 0
[211]: tagMask: ffffffffe000 , tag_offset: 1be00000 , ppn: 0 , valid: true , ptIndex: 211 , countAccess: 30767
[212]: tagMask: fffffffe0000 , tag_offset: 1be20000 , ppn: 0 , valid: true , ptIndex: 212 , countAccess: 33395
[213]: tagMask: ffffffe00000 , tag_offset: 1c000000 , ppn: 0 , valid: true , ptIndex: 213 , countAccess: 0
[214]: tagMask: ffffffffc000 , tag_offset: 1c200000 , ppn: 0 , valid: true , ptIndex: 214 , countAccess: 31033
[215]: tagMask: ffffffffc000 , tag_offset: 1c204000 , ppn: 0 , valid: true , ptIndex: 215 , countAccess: 29593
